portfolio,sizing,risk_pct,fixed,policy,ending,withdrawn,profit,maxdd,trades,pf,months_paid,wiped
Gold only,fixed,,"{""GOLD"": 10.0}",forced,0.0,6369.84,1369.84,-5343.36,314,1.08,6,False
Gold only,fixed,,"{""GOLD"": 10.0}",profit_floor,4698.23,1671.61,1369.84,-2066.42,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 10.0}",floor_full,5369.84,1000.0,1369.84,-2756.05,314,1.08,1,False
Gold only,fixed,,"{""GOLD"": 2.5}",forced,0,5417.9,389.97,-5000.0,287,,5,True
Gold only,fixed,,"{""GOLD"": 2.5}",profit_floor,4924.56,417.9,342.46,-516.6,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 2.5}",floor_full,5342.46,0,342.46,-439.01,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 5.0}",forced,0,5835.81,779.94,-5000.0,287,,5,True
Gold only,fixed,,"{""GOLD"": 5.0}",profit_floor,4849.11,835.81,684.92,-1033.21,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 5.0}",floor_full,5684.92,0,684.92,-878.02,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 7.5}",forced,0,6000.0,978.52,-5000.0,289,,6,True
Gold only,fixed,,"{""GOLD"": 7.5}",profit_floor,4773.67,1253.71,1027.38,-1549.81,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 7.5}",floor_full,5027.38,1000.0,1027.38,-1684.0,314,1.08,1,False
Gold only,fixed,,"{""GOLD"": 10.0}",forced,0.0,6369.84,1369.84,-5343.36,314,1.08,6,False
Gold only,fixed,,"{""GOLD"": 10.0}",profit_floor,4698.23,1671.61,1369.84,-2066.42,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 10.0}",floor_full,5369.84,1000.0,1369.84,-2756.05,314,1.08,1,False
Gold only,fixed,,"{""GOLD"": 2.5}",forced,0,5417.9,389.97,-5000.0,287,,5,True
Gold only,fixed,,"{""GOLD"": 2.5}",profit_floor,4924.56,417.9,342.46,-516.6,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 2.5}",floor_full,5342.46,0,342.46,-439.01,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 5.0}",forced,0,5835.81,779.94,-5000.0,287,,5,True
Gold only,fixed,,"{""GOLD"": 5.0}",profit_floor,4849.11,835.81,684.92,-1033.21,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 5.0}",floor_full,5684.92,0,684.92,-878.02,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 7.5}",forced,0,6000.0,978.52,-5000.0,289,,6,True
Gold only,fixed,,"{""GOLD"": 7.5}",profit_floor,4773.67,1253.71,1027.38,-1549.81,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 7.5}",floor_full,5027.38,1000.0,1027.38,-1684.0,314,1.08,1,False
Gold only,fixed,,"{""GOLD"": 10.0}",forced,0.0,6369.84,1369.84,-5343.36,314,1.08,6,False
Gold only,fixed,,"{""GOLD"": 10.0}",profit_floor,4698.23,1671.61,1369.84,-2066.42,314,1.08,0,False
Gold only,fixed,,"{""GOLD"": 10.0}",floor_full,5369.84,1000.0,1369.84,-2756.05,314,1.08,1,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 2.5}",forced,0.0,6960.7,1960.7,-5000.0,674,1.18,6,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 2.5}",profit_floor,5000.0,1960.7,1960.7,-1066.99,674,1.18,0,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 2.5}",floor_full,5960.7,1000.0,1960.7,-1098.68,674,1.18,1,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 5.0}",forced,303.15,7000.0,2303.15,-4696.85,674,1.15,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 5.0}",profit_floor,5000.0,2303.15,2303.15,-1429.09,674,1.15,1,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 5.0}",floor_full,5303.15,2000.0,2303.15,-1483.82,674,1.15,2,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 7.5}",forced,645.61,7000.0,2645.61,-4368.75,674,1.14,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 7.5}",profit_floor,5000.0,2645.61,2645.61,-1852.99,674,1.14,1,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 7.5}",floor_full,5645.61,2000.0,2645.61,-1792.84,674,1.14,2,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 10.0}",forced,988.07,7000.0,2988.07,-4379.28,674,1.13,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 10.0}",profit_floor,5000.0,2988.07,2988.07,-2276.89,674,1.13,1,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.25, ""GOLD"": 10.0}",floor_full,5988.07,2000.0,2988.07,-2103.87,674,1.13,2,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 2.5}",forced,1578.93,7000.0,3578.93,-4568.74,674,1.21,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 2.5}",profit_floor,5166.84,3412.09,3578.93,-1842.39,674,1.21,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 2.5}",floor_full,5578.93,3000.0,3578.93,-1842.39,674,1.21,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 5.0}",forced,1921.39,7000.0,3921.39,-4327.32,674,1.18,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 5.0}",profit_floor,5384.86,3536.53,3921.39,-1954.48,674,1.18,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 5.0}",floor_full,5921.39,3000.0,3921.39,-1954.48,674,1.18,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 7.5}",forced,2263.85,7000.0,4263.85,-4085.9,674,1.17,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 7.5}",profit_floor,5485.78,3778.07,4263.85,-2106.17,674,1.17,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 7.5}",floor_full,6263.85,3000.0,4263.85,-2106.17,674,1.17,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 10.0}",forced,2606.31,7000.0,4606.31,-4177.95,674,1.15,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 10.0}",profit_floor,5606.31,4000.0,4606.31,-2257.86,674,1.15,4,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.5, ""GOLD"": 10.0}",floor_full,5606.31,4000.0,4606.31,-2257.86,674,1.15,4,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 2.5}",forced,3197.17,7000.0,5197.17,-4973.81,674,1.23,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 2.5}",profit_floor,6631.62,3565.55,5197.17,-2080.85,674,1.23,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 2.5}",floor_full,7197.17,3000.0,5197.17,-1837.74,674,1.23,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 5.0}",forced,3539.63,7000.0,5539.63,-4732.39,674,1.2,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 5.0}",profit_floor,6868.9,3670.72,5539.63,-2167.78,674,1.2,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 5.0}",floor_full,7539.63,3000.0,5539.63,-2060.31,674,1.2,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 7.5}",forced,3882.09,7000.0,5882.09,-4490.97,674,1.18,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 7.5}",profit_floor,7077.3,3804.79,5882.09,-2283.61,674,1.18,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 7.5}",floor_full,7882.09,3000.0,5882.09,-2283.61,674,1.18,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 10.0}",forced,4224.55,7000.0,6224.55,-4506.91,674,1.17,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 10.0}",profit_floor,7224.55,4000.0,6224.55,-2506.91,674,1.17,4,False
BTC + Gold,fixed,,"{""BTCUSD"": 0.75, ""GOLD"": 10.0}",floor_full,7224.55,4000.0,6224.55,-2506.91,674,1.17,4,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 2.5}",forced,0,4000.0,-1159.25,-5000.0,398,,4,True
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 2.5}",profit_floor,8096.39,3719.01,6815.4,-2745.49,674,1.23,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 2.5}",floor_full,8815.4,3000.0,6815.4,-2440.27,674,1.23,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 5.0}",forced,0,4000.0,-1061.2,-5000.0,399,,4,True
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 5.0}",profit_floor,8333.68,3824.18,7157.86,-2832.42,674,1.21,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 5.0}",floor_full,9157.86,3000.0,7157.86,-2598.21,674,1.21,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 7.5}",forced,5500.32,7000.0,7500.32,-4896.05,674,1.2,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 7.5}",profit_floor,8570.97,3929.35,7500.32,-2919.35,674,1.2,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 7.5}",floor_full,9500.32,3000.0,7500.32,-2821.51,674,1.2,3,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 10.0}",forced,5842.78,7000.0,7842.78,-5044.82,674,1.18,7,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 10.0}",profit_floor,8808.26,4034.52,7842.78,-3079.34,674,1.18,4,False
BTC + Gold,fixed,,"{""BTCUSD"": 1.0, ""GOLD"": 10.0}",floor_full,8842.78,4000.0,7842.78,-3044.82,674,1.18,4,False
